header
Dataset,MCR,MSE,Precision,Recall,TPR,F1,F1min,kSize,performance(training),MaxSELabel,MinLabel
Datasets\Uci_imageseg.csv,0.107142857142857,1.75599519184557,0.892857142857143,0.89234693877551,0.8,0.892601967909199,0.888888888888889,10,0.0193884811216988,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,3.58620010064727,0.892857142857143,0.889739229024943,1,0.891295459191786,1,11,0.0181581670184023,6,0
Datasets\Uci_imageseg.csv,0.0892857142857143,5.89560947683859,0.910714285714286,0.914115646258503,1,0.912411796032486,0.933333333333333,12,0.0136693278719518,6,0
Datasets\Uci_imageseg.csv,0.142857142857143,40.6162796287751,0.857142857142857,0.857142857142857,0.875,0.857142857142857,0.875,13,0.0157963404059888,6,0
Datasets\Uci_imageseg.csv,0.0892857142857143,3.78073390005012,0.910714285714286,0.910714285714286,1,0.910714285714286,1,14,0.011901478519856,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,0.547395316807343,0.892857142857143,0.896825396825397,1,0.894836870446627,0.933333333333333,15,0.0138250148993864,6,0
Datasets\Uci_imageseg.csv,0.125,22160.7163756987,0.875,0.877040816326531,1,0.876019219569016,0.933333333333333,16,0.0150135872578804,6,0
Datasets\Uci_imageseg.csv,0.107142857142857,2.52528321160949,0.892857142857143,0.892857142857143,1,0.892857142857143,1,17,0.0130722187115792,6,0
Datasets\Uci_imageseg.csv,0.160714285714286,0.722331878130976,0.839285714285714,0.849206349206349,0.888888888888889,0.844216887695149,0.941176470588235,18,0.0138031829520153,6,0
Datasets\Uci_imageseg.csv,0.125,3.73696077469261,0.875,0.889285714285714,1,0.882085020242915,1,19,0.013706246273556,6,0
Datasets\Uci_imageseg.csv,0.125,19.3394970907819,0.875,0.893253968253968,1,0.88403276481149,0.933333333333333,20,0.010634324327085,0,0
Datasets\Uci_imageseg.csv,0.714285714285714,0.714286352898213,0.285714285714286,0.166666666666667,0.166666666666667,0.210526315789474,0.285714285714286,2,0.102040893209428,3,0
Datasets\Uci_imageseg.csv,0.571428571428571,0.571453847795212,0.428571428571429,0.314285714285714,0,0.362637362637363,0,3,0.0816338116073243,2,0
Datasets\Uci_imageseg.csv,0.428571428571429,0.434163315434361,0.571428571428571,0.449564772145417,0.258064516129032,0.503223957587047,0.41025641025641,4,0.0614585503745257,1,0
